n_empty,score,top_n,inchikey,smiles,adduct,instrument_type,identifier
10186,1.0,1,VFMQMACUYWGDOJ,CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC,[M+H]+,Orbitrap,MassSpecGymID0000001
10186,1.0,1,VFMQMACUYWGDOJ,CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC,[M+H]+,Orbitrap,MassSpecGymID0000002
10186,1.0,1,VFMQMACUYWGDOJ,CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC,[M+H]+,Orbitrap,MassSpecGymID0000003
10186,0.9522795830166134,2,VFMQMACUYWGDOJ,CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC,[M+H]+,Orbitrap,MassSpecGymID0000004
10186,1.0,1,VFMQMACUYWGDOJ,CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC,[M+H]+,Orbitrap,MassSpecGymID0000005
10186,0.9524367841037557,2,VFMQMACUYWGDOJ,CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC,[M+H]+,Orbitrap,MassSpecGymID0000006
10186,1.0,1,VFMQMACUYWGDOJ,CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC,[M+H]+,Orbitrap,MassSpecGymID0000007
10186,1.0,1,VFMQMACUYWGDOJ,CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC,[M+H]+,Orbitrap,MassSpecGymID0000008
10186,1.0,1,VFMQMACUYWGDOJ,CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC,[M+H]+,Orbitrap,MassSpecGymID0000009
10186,1.0,1,VFMQMACUYWGDOJ,CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC,[M+H]+,Orbitrap,MassSpecGymID0000010
10186,1.0,1,VFMQMACUYWGDOJ,CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC,[M+H]+,QTOF,MassSpecGymID0000011
10186,1.0,1,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000012
10186,0.999064371994196,3,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000013
10186,0.9989798550456856,2,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000014
10186,1.0,1,MBMQEIFVQACCCH,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,[M+H]+,Orbitrap,MassSpecGymID0000015
